"Index","Open","High","Low","Close","Volume"
2072-09-03,4.78,4.805,4.755,4.798,9677
2072-09-04,4.795,4.84,4.73,4.735,13408
2072-09-05,4.74,4.78,4.74,4.765,6094
2072-09-06,4.77,4.79,4.765,4.785,3695
2072-09-07,4.785,4.795,4.74,4.745,3765
2072-09-08,4.745,4.775,4.745,4.763,4532
2072-09-09,4.77,4.78,4.735,4.765,7439
2072-09-10,4.765,4.77,4.715,4.723,7969
2072-09-11,4.72,4.725,4.68,4.688,6386
2072-09-12,4.69,4.7,4.67,4.695,6602
2072-09-13,4.695,4.705,4.665,4.688,6220
2072-09-14,4.675,4.685,4.655,4.658,7306
2072-09-15,4.66,4.68,4.65,4.655,5186
2072-09-16,4.655,4.68,4.625,4.63,10692
2072-09-17,4.63,4.645,4.62,4.628,10692
2072-09-18,4.635,4.7,4.62,4.698,25187
2072-09-19,4.695,4.72,4.69,4.698,15107
2072-09-20,4.775,4.785,4.69,4.7,29224
2072-09-21,4.69,4.76,4.69,4.758,10434
2072-09-22,4.76,4.775,4.71,4.723,4658
2072-09-23,4.725,4.825,4.72,4.795,10788
2072-09-24,4.8,4.81,4.765,4.783,4097
2072-09-25,4.78,4.84,4.78,4.833,8567
2072-09-26,4.835,4.84,4.785,4.803,6358
2072-09-27,4.8,4.81,4.71,4.725,7347
2072-09-28,4.735,4.74,4.715,4.733,4743
2072-09-29,4.73,4.78,4.725,4.735,6094
2072-09-30,4.65,4.66,4.62,4.653,4574
2072-10-01,4.65,4.71,4.645,4.663,6550
2072-10-02,4.665,4.675,4.635,4.663,3046
2072-10-03,4.655,4.685,4.65,4.675,2046
2072-10-04,4.685,4.7,4.63,4.647,4311
2072-10-05,4.645,4.65,4.62,4.637,2867
2072-10-06,4.635,4.65,4.605,4.635,3620
2072-10-07,4.595,4.605,4.535,4.54,8952
2072-10-08,4.54,4.585,4.54,4.58,7272
2072-10-09,4.58,4.615,4.56,4.6,5764
2072-10-10,4.6,4.61,4.58,4.59,3301
2072-10-11,4.6,4.6,4.565,4.59,3480
2072-10-12,4.595,4.595,4.555,4.575,3373
2072-10-13,4.585,4.605,4.56,4.593,4336
2072-10-14,4.6,4.675,4.59,4.655,8124
2072-10-15,4.645,4.72,4.64,4.71,12025
2072-10-16,4.71,4.8,4.69,4.743,18012
2072-10-17,4.74,4.835,4.72,4.825,16158
2072-10-18,4.83,4.88,4.775,4.78,13962
2072-10-19,4.78,4.835,4.74,4.805,8572
2072-10-20,4.81,4.835,4.79,4.805,5558
2072-10-21,4.805,4.81,4.765,4.793,4172
2072-10-22,4.795,4.86,4.76,4.81,8487
2072-10-23,4.805,4.85,4.78,4.825,5784
2072-10-24,4.82,4.835,4.795,4.823,3034
2072-10-25,4.81,4.865,4.81,4.82,7385
2072-10-26,4.82,4.83,4.795,4.815,4501
2072-10-27,4.82,4.825,4.765,4.81,6205
2072-10-28,4.8,4.81,4.77,4.788,4244
2072-10-29,4.77,4.775,4.695,4.698,11964
2072-10-30,4.7,4.7,4.65,4.67,7409
2072-10-31,4.665,4.685,4.615,4.625,11702
2072-11-01,4.625,4.64,4.565,4.57,16749
2072-11-02,4.57,4.585,4.53,4.563,18244
2072-11-03,4.56,4.59,4.535,4.56,17241
2072-11-04,4.56,4.58,4.545,4.55,13756
2072-11-05,4.555,4.565,4.505,4.515,8225
2072-11-06,4.525,4.53,4.48,4.49,8542
2072-11-07,4.49,4.505,4.41,4.42,10306
2072-11-08,4.41,4.44,4.395,4.408,8908
2072-11-09,4.41,4.44,4.405,4.415,6890
2072-11-10,4.415,4.455,4.37,4.433,19598
2072-11-11,4.435,4.46,4.42,4.445,10782
2072-11-12,4.5,4.52,4.46,4.463,12592
2072-11-13,4.465,4.58,4.445,4.515,14252
2072-11-14,4.52,4.555,4.425,4.435,11667
2072-11-15,4.43,4.485,4.43,4.458,6523
2072-11-16,4.43,4.48,4.425,4.455,3151
2072-11-17,4.45,4.47,4.415,4.445,4338
2072-11-18,4.455,4.49,4.425,4.465,4554
2072-11-19,4.465,4.535,4.45,4.51,10074
2072-11-20,4.52,4.55,4.495,4.522,5536
2072-11-21,4.54,4.55,4.42,4.44,7890
2072-11-22,4.445,4.46,4.4,4.45,7092
2072-11-23,4.335,4.365,4.32,4.353,3648
2072-11-24,4.3,4.32,4.27,4.315,4967
2072-11-25,4.32,4.365,4.295,4.313,5331
2072-11-26,4.32,4.37,4.295,4.34,5810
2072-11-27,4.34,4.36,4.33,4.353,4395
2072-11-28,4.36,4.37,4.32,4.335,6130
2072-11-29,4.34,4.355,4.305,4.315,3127
2072-11-30,4.32,4.34,4.3,4.325,3760
2072-12-01,4.315,4.39,4.305,4.363,8517
2072-12-02,4.37,4.385,4.35,4.368,4314
2072-12-03,4.375,4.46,4.365,4.44,9933
2072-12-04,4.44,4.44,4.36,4.368,7185
2072-12-05,4.37,4.385,4.32,4.365,10080
2072-12-06,4.37,4.445,4.355,4.427,9873
2072-12-07,4.435,4.475,4.405,4.44,10671
2072-12-08,4.44,4.45,4.395,4.44,8372
2072-12-09,4.44,4.485,4.43,4.453,9747
2072-12-10,4.45,4.465,4.35,4.365,19335
2072-12-11,4.37,4.42,4.365,4.377,10480
2072-12-12,4.415,4.44,4.395,4.4,13454
2072-12-13,4.4,4.41,4.35,4.358,7065
2072-12-14,4.365,4.395,4.35,4.385,5412
2072-12-15,4.39,4.425,4.37,4.395,3894
2072-12-16,4.395,4.415,4.36,4.365,4784
2072-12-17,4.37,4.38,4.325,4.36,7467
2072-12-18,4.355,4.36,4.325,4.327,3953
2072-12-19,4.33,4.345,4.32,4.335,3439
2072-12-20,4.34,4.425,4.33,4.415,8969
2072-12-21,4.395,4.42,4.325,4.35,9200
2072-12-22,4.35,4.365,4.335,4.337,3012
2072-12-23,4.355,4.36,4.315,4.32,5545
2072-12-24,4.33,4.475,4.33,4.463,16711
2072-12-25,4.46,4.51,4.4,4.495,14580
2072-12-26,4.49,4.625,4.45,4.577,20286
2072-12-27,4.585,4.655,4.525,4.55,13880
2072-12-28,4.55,4.58,4.525,4.568,7415
2072-12-29,4.575,4.605,4.515,4.58,8529
2072-12-30,4.58,4.69,4.555,4.62,15263
2072-12-31,4.61,4.62,4.555,4.583,5394
2073-01-01,4.575,4.575,4.52,4.54,5372
2073-01-02,4.55,4.55,4.43,4.445,11706
2073-01-03,4.455,4.475,4.4,4.41,8170
2073-01-04,4.41,4.45,4.385,4.423,6531
2073-01-05,4.42,4.445,4.325,4.335,14455
2073-01-06,4.335,4.375,4.33,4.343,7506
2073-01-07,4.35,4.375,4.33,4.34,6685
2073-01-08,4.35,4.35,4.325,4.335,6194
2073-01-09,4.34,4.385,4.31,4.37,9599
2073-01-10,4.37,4.38,4.32,4.338,5403
2073-01-11,4.335,4.38,4.33,4.375,7758
2073-01-12,4.42,4.435,4.395,4.4,3507
2073-01-13,4.405,4.41,4.33,4.345,13459
2073-01-14,4.345,4.36,4.28,4.323,4463
2073-01-15,4.32,4.345,4.3,4.303,4321
2073-01-16,4.32,4.325,4.29,4.298,9701
2073-01-17,4.295,4.355,4.29,4.348,19425
2073-01-18,4.35,4.35,4.295,4.305,12381
2073-01-19,4.35,4.36,4.315,4.332,14332
2073-01-20,4.325,4.36,4.32,4.327,5141
2073-01-21,4.33,4.34,4.28,4.31,6731
2073-01-22,4.31,4.32,4.265,4.278,5756
2073-01-23,4.28,4.28,4.23,4.238,5652
2073-01-24,4.23,4.27,4.2,4.265,5652
2073-01-25,4.265,4.285,4.23,4.243,4674
2073-01-26,4.24,4.28,4.235,4.263,3269
2073-01-27,4.265,4.285,4.24,4.26,6159
2073-01-28,4.27,4.28,4.24,4.268,3220
2073-01-29,4.27,4.315,4.25,4.308,7022
2073-01-30,4.3,4.315,4.2,4.21,8644
2073-01-31,4.21,4.25,4.205,4.248,3081
2073-02-01,4.25,4.29,4.225,4.26,3934
2073-02-02,4.25,4.27,4.235,4.26,1835
2073-02-03,4.255,4.26,4.225,4.232,1703
2073-02-04,4.235,4.275,4.225,4.24,3720
2073-02-05,4.235,4.245,4.215,4.218,2562
2073-02-06,4.215,4.24,4.2,4.208,2870
2073-02-07,4.205,4.235,4.2,4.228,3371
2073-02-08,4.23,4.245,4.225,4.233,2749
2073-02-09,4.24,4.255,4.23,4.235,3626
