"Index","Open","High","Low","Close","Volume"
2072-09-03,116.6,116.6,115.38,115.5,927
2072-09-04,115.45,115.87,114.98,115.55,940
2072-09-05,115.78,115.78,114.05,114.87,1431
2072-09-06,114.8,116,114.38,115.62,649
2072-09-07,115.4,115.87,115.12,115.46,513
2072-09-08,115.55,116.57,114.79,116.18,603
2072-09-09,116.18,116.47,115.02,115.19,833
2072-09-10,115.18,115.85,114.93,115.75,751
2072-09-11,115.55,115.95,115.4,115.55,545
2072-09-12,115.9,116.3,115.6,116.13,656
2072-09-13,116.03,116.47,115.61,116.28,407
2072-09-14,116.68,117.28,116.37,117.26,592
2072-09-15,117.12,117.62,117.05,117.23,277
2072-09-16,117.03,118.05,116.92,117.89,753
2072-09-17,117.81,118.1,117.52,117.8,753
2072-09-18,118.32,118.45,116.94,117,2227
2072-09-19,117.02,117.22,116.32,116.54,961
2072-09-20,116.54,116.68,115.58,116.56,2001
2072-09-21,116.56,116.67,114.99,115.1,1610
2072-09-22,115.16,115.43,114.6,114.74,705
2072-09-23,114.58,114.76,113.23,113.65,964
2072-09-24,113.88,114.56,113.66,114.46,1392
2072-09-25,114.48,114.48,113.22,113.26,1166
2072-09-26,113.14,113.79,112.82,113.51,662
2072-09-27,113.57,114.12,113.25,113.97,1074
2072-09-28,113.99,114.41,113.68,114.23,2506
2072-09-29,114.32,114.65,114.15,114.23,302
2072-09-30,112.75,113.5,112.68,113.04,507
2072-10-01,112.91,112.91,111.74,111.76,901
2072-10-02,111.75,111.97,111.07,111.34,916
2072-10-03,111.12,111.25,110.4,110.61,1051
2072-10-04,110.13,110.3,109.9,110.16,475
2072-10-05,110.05,110.7,110.05,110.29,575
2072-10-06,110.32,110.32,109.27,109.28,674
2072-10-07,108.48,110.4,108.04,110.11,2082
2072-10-08,110.21,110.32,108.52,108.75,1039
2072-10-09,108.54,109.3,108.32,108.48,540
2072-10-10,108.33,109.2,108.33,108.84,330
2072-10-11,109.15,109.9,109.15,109.5,599
2072-10-12,109.54,109.95,109.43,109.79,391
2072-10-13,110.04,110.13,108.65,108.95,637
2072-10-14,109.03,109.6,108.73,109.32,637
2072-10-15,110.17,110.42,109.9,110.04,1032
2072-10-16,110.05,111.07,110.05,110.77,2510
2072-10-17,110.7,110.8,109.71,109.89,1298
2072-10-18,109.92,110.68,109.52,110.65,664
2072-10-19,110.57,111.29,110.1,110.21,774
2072-10-20,110.2,110.38,109.84,110.28,523
2072-10-21,110.49,111.86,110.46,111.72,1200
2072-10-22,111.74,112.6,111.42,111.6,1151
2072-10-23,111.31,111.84,110.75,111.48,745
2072-10-24,111.47,111.88,111.22,111.82,382
2072-10-25,111.9,112.1,110.88,110.98,759
2072-10-26,111.05,111.1,110.41,110.53,1026
2072-10-27,110.3,110.3,109.4,109.68,1844
2072-10-28,109.96,110.57,109.6,110.3,874
2072-10-29,110.14,110.15,109.5,109.95,350
2072-10-30,110,110.94,110,110.8,586
2072-10-31,110.63,111.27,110.45,110.92,492
2072-11-01,111.02,112.25,111.02,112.09,1244
2072-11-02,111.97,112.5,111.42,111.54,470
2072-11-03,111.62,111.62,111.04,111.17,570
2072-11-04,111,112.24,110.98,111.97,1138
2072-11-05,111.95,112.25,111.77,112.03,340
2072-11-06,113.1,113.14,112.03,112.29,1033
2072-11-07,111.82,113.29,111.82,112.85,512
2072-11-08,112.84,113.35,112.25,113.11,752
2072-11-09,112.84,113.65,112.67,113.31,1031
2072-11-10,113.45,113.55,111.9,112.07,1093
2072-11-11,112.3,113.1,112.15,112.8,719
2072-11-12,113.02,113.02,111.94,112.38,572
2072-11-13,112.26,112.45,111.7,112,758
2072-11-14,112.01,112.01,111.23,111.29,669
2072-11-15,111.4,111.52,110.81,111.2,734
2072-11-16,111.2,111.7,111.2,111.6,342
2072-11-17,111.65,111.85,111.16,111.24,290
2072-11-18,111.15,112.03,111,111.86,2607
2072-11-19,111.82,111.82,111.32,111.53,417
2072-11-20,111.43,111.7,111,111.48,990
2072-11-21,111.5,112.14,111.5,112.05,782
2072-11-22,111.94,113.23,111.94,113.1,366
2072-11-23,115.26,115.26,114.26,114.27,1794
2072-11-24,117.77,117.89,117,117.5,922
2072-11-25,117.34,117.34,115.75,115.85,1715
2072-11-26,115.71,116.14,114.92,115.26,1027
2072-11-27,115.15,115.81,114.51,115.56,686
2072-11-28,115.59,115.95,114.69,114.9,743
2072-11-29,114.94,115.4,114.8,115.4,445
2072-11-30,115.6,116.28,115.2,116.07,780
2072-12-01,116,116.75,115.72,116.22,1782
2072-12-02,116.17,116.27,115.33,115.63,1214
2072-12-03,116.45,116.65,116.2,116.26,629
2072-12-04,116.11,116.95,115.83,116.62,1620
2072-12-05,116.58,117.7,115.8,116.23,1939
2072-12-06,116.28,116.55,115.05,115.17,1349
2072-12-07,114.85,115.2,114.38,114.48,1576
2072-12-08,114.38,115.25,114.01,114.9,1010
2072-12-09,115,115.51,114.6,115.34,682
2072-12-10,115.42,115.65,114.78,115.16,709
2072-12-11,115.01,115.38,114.55,114.59,576
2072-12-12,114.75,116,114.52,115.81,1309
2072-12-13,115.78,116.28,115.72,115.95,855
2072-12-14,115.84,116.1,115.25,115.46,973
2072-12-15,115.36,115.77,115.08,115.32,689
2072-12-16,115,115.68,114.9,115.53,1062
2072-12-17,115.45,115.45,114.38,115.09,1182
2072-12-18,115.28,115.49,115.27,115.49,531
2072-12-19,115.4,116.3,115.36,116.24,963
2072-12-20,116.18,116.46,116.06,116.22,458
2072-12-21,116.06,116.8,115.55,116.52,1760
2072-12-22,116.44,117.19,116.44,116.98,618
2072-12-23,117.24,117.32,116.67,116.8,512
2072-12-24,116.57,117.23,116.07,116.24,1428
2072-12-25,116.24,116.6,115.85,116.16,1043
2072-12-26,116.25,116.95,116.21,116.46,640
2072-12-27,116.4,116.97,116.3,116.58,326
2072-12-28,116.62,118.05,116.62,117.79,5288
2072-12-29,117.83,118.5,117.67,118.41,1401
2072-12-30,118.53,118.78,117.9,118.45,661
