"Index","Open","High","Low","Close","Volume"
2072-09-03,255.5,257,254.5,254.75,12491
2072-09-04,255,261,255,259.75,12256
2072-09-05,260,265,260,264,16083
2072-09-06,264,266.5,262,262.75,13214
2072-09-07,263,263.25,260.5,262.25,9286
2072-09-08,263.25,266,262.25,265.25,12541
2072-09-09,265.75,266.25,258,258.25,18588
2072-09-10,258.25,258.25,254.75,256.75,15127
2072-09-11,258,259,255.5,257.75,16631
2072-09-12,258,259.5,255.25,255.75,14038
2072-09-13,256,258,254,254.5,9463
2072-09-14,272.5,276.5,272.5,274.25,8431
2072-09-15,274.75,277.75,273,273.75,10913
2072-09-16,273,274.5,271.5,273.5,7866
2072-09-17,273.75,276.25,272.5,275.25,9445
2072-09-18,279,280,275,275.5,26468
2072-09-19,273.5,275,272,273.25,20305
2072-09-20,273.25,274,269.5,269.75,45963
2072-09-21,269.75,274,269,273.75,28842
2072-09-22,274,279,273.75,277.75,33935
2072-09-23,278.5,280.5,276,279.5,18580
2072-09-24,279.5,280,275,277.25,14935
2072-09-25,277,278.5,275.5,276.75,12040
2072-09-26,277.25,280,270,270.5,23137
2072-09-27,270,274,266.5,273.5,19571
2072-09-28,274.5,274.5,270.25,270.75,10002
2072-09-29,270.5,275,269.75,270.5,13363
2072-09-30,269,273,267,272.5,14839
2072-10-01,274,274.5,268.5,271,11468
2072-10-02,271,273,268.5,272.75,9132
2072-10-03,273,277.5,273,275.75,15974
2072-10-04,274,274.5,270.5,272.75,6076
2072-10-05,272.5,274.5,271.5,271.75,5209
2072-10-06,271.5,280,271.5,279.5,15548
2072-10-07,276.25,284,275.5,283.25,28519
2072-10-08,283,284.5,281.5,284.25,20428
2072-10-09,284.5,284.5,280,283,19377
2072-10-10,283.5,283.5,278.5,283,14095
2072-10-11,282.5,287.5,281,285,21411
2072-10-12,284.5,289.5,284.5,289,25776
2072-10-13,288.5,294.5,285,289.75,35153
2072-10-14,289,290,285.5,289,20159
2072-10-15,287.75,288,284,285.25,16597
2072-10-16,284.5,285.5,282.25,282.5,13880
2072-10-17,283.5,286.75,283,284.5,10891
2072-10-18,284.5,287.5,282,285.5,17115
2072-10-19,286,286.5,282,285.25,14687
2072-10-20,285.5,287,283,285.75,12193
2072-10-21,286,286.5,281.5,285.5,17800
2072-10-22,285.5,286.5,278.25,279,21819
2072-10-23,279,280.5,276,276.25,19831
2072-10-24,276,276.25,268,269.25,36862
2072-10-25,269.25,272.5,268.5,270.5,16869
2072-10-26,270.5,273.5,268,273,14633
2072-10-27,273.5,273.5,270,270.25,13313
2072-10-28,271,273,269,272,11251
2072-10-29,272.5,276,268,268.5,12234
2072-10-30,267.5,269.25,265.25,267,21130
2072-10-31,267,269,266,267,12631
2072-11-01,267,270.5,266,266.75,15340
2072-11-02,267,269,266,266.25,10817
2072-11-03,266,267.5,261.25,261.75,18542
2072-11-04,262,263.5,260.5,263,14364
2072-11-05,263.5,269,263,267.5,17827
2072-11-06,267,269,263.5,264.25,10065
2072-11-07,278,279.5,276.75,278.25,7725
2072-11-08,278.25,279.75,273,274.5,22791
2072-11-09,275,276.25,270,270.5,24016
2072-11-10,271.5,272,269,271,18440
2072-11-11,272,272,268,269.5,20507
2072-11-12,270,272,268.75,269.25,25379
2072-11-13,270,278.5,269.25,276.75,26243
2072-11-14,277.25,280.5,276,277.25,20137
2072-11-15,277.25,284,277.25,280.25,18519
2072-11-16,281.75,285,281.75,283.75,41629
2072-11-17,284.5,285,280.75,282.5,11351
2072-11-18,283,283.5,278.25,280,10704
2072-11-19,280.5,282.75,276.75,280,17530
2072-11-20,280,281.5,278,279.5,5205
2072-11-21,279,286,278.75,285.5,20878
2072-11-22,286.25,288,284,285.5,19875
2072-11-23,269.5,271.5,267.5,270.75,7620
2072-11-24,256.75,261,256,259.25,17551
2072-11-25,260,264,257,261.75,8466
2072-11-26,262.25,266.5,262,265.25,6459
2072-11-27,266.5,268,262,265,4804
2072-11-28,265.5,265.5,261.25,262.5,4259
2072-11-29,262.5,264,259,260,4973
2072-11-30,261.5,261.5,255.5,257.25,7510
2072-12-01,257.75,261.25,257.25,261,8347
2072-12-02,262,268.5,262,266.75,9844
