"Index","Open","High","Low","Close","Volume"
2072-09-03,205,209.5,204.5,206,54622
2072-09-04,206.5,213,206.5,212,57694
2072-09-05,211.75,214,211.75,213.25,39255
2072-09-06,213,216,213,213.5,50780
2072-09-07,213.5,215,212.25,214.75,39731
2072-09-08,214.75,216.5,214.5,216,40690
2072-09-09,215.75,216,212.25,213.75,40034
2072-09-10,213.5,213.75,210.75,212,40965
2072-09-11,212,212,210.5,211.25,27722
2072-09-12,211,211.75,208.5,208.75,37743
2072-09-13,208.75,209.25,207.25,207.5,40830
2072-09-14,221,224.5,221,223.5,26642
2072-09-15,223.25,225.5,223,223.25,33898
2072-09-16,222.75,223.25,221.75,223.25,30654
2072-09-17,222.75,223.5,222.25,222.5,16420
2072-09-18,223,224.5,222.5,222.75,33324
2072-09-19,222.5,222.75,219.5,220.25,60533
2072-09-20,220,220.25,217.25,217.5,62868
2072-09-21,217.5,221.25,216.25,220.5,63072
2072-09-22,220,222.25,218,221.5,41910
2072-09-23,221.25,221.5,219.5,220.25,31753
2072-09-24,219.75,220.25,217.75,220,31721
2072-09-25,220,220,218.5,218.75,28521
2072-09-26,218.25,220,214.25,214.75,74590
2072-09-27,214.75,219.5,214.25,218.75,43725
2072-09-28,218,218.5,216.25,217,30857
2072-09-29,217,217.25,215.75,216.25,27165
2072-09-30,222,226,221.5,225.75,40517
2072-10-01,225.25,227,224.25,225,32449
2072-10-02,225,226.5,223.75,226.25,25345
2072-10-03,226.25,227.5,226,226.75,19382
2072-10-04,226.25,229.5,224.5,228.75,34593
2072-10-05,228.5,232,228.5,230.25,71053
2072-10-06,230,232,229,231.75,31420
2072-10-07,227,230.75,226.5,230,39703
2072-10-08,230,231,228.25,230,36828
2072-10-09,230,230,225,226,49470
2072-10-10,225.75,226,224,225.75,35100
2072-10-11,225.5,228.5,225,227.5,24920
2072-10-12,227.5,230,227.25,229.5,37890
2072-10-13,229.5,231,222,222.5,69820
2072-10-14,222.25,223,218.25,219.25,89716
2072-10-15,219,219,216,216.25,57273
2072-10-16,216,218,215.5,217.5,37054
2072-10-17,217.5,220,217.5,218,30738
2072-10-18,218.25,219.5,214.75,215,45859
2072-10-19,215,215.5,212.75,215.25,51280
2072-10-20,215.75,216.75,213.75,214,34731
2072-10-21,214,216.75,213.25,215.5,38402
2072-10-22,215,215.75,213.25,213.5,26767
2072-10-23,213.5,214,209.25,209.5,62730
2072-10-24,209.5,210,206.5,208.25,49867
2072-10-25,208.25,210.75,208.25,209.25,29930
2072-10-26,209.25,210,207.5,209,27770
2072-10-27,209,212.25,208.5,211,29094
2072-10-28,211,213.5,210.5,213,26295
2072-10-29,213,213.5,211,212,21466
2072-10-30,211.75,214.5,210,213.5,26470
2072-10-31,213.5,214.75,212,212.25,27158
2072-11-01,212,212,209.25,210,26624
2072-11-02,210,211,209.5,210.25,20010
2072-11-03,210,211.75,209.75,210.25,29156
2072-11-04,210,210.5,209.25,209.75,30600
2072-11-05,209.75,213,209.75,212.75,28713
2072-11-06,212,213,210.25,212,29936
2072-11-07,219.25,221.75,219.25,220.25,16298
2072-11-08,220.25,220.75,218,218.25,30393
2072-11-09,218,220.75,217.5,217.75,32557
2072-11-10,217.75,218.25,216.5,217,31649
2072-11-11,217,218.25,216.75,217,29031
2072-11-12,217,218.75,217,218.5,48120
2072-11-13,218.5,223.5,218.5,222.5,56675
2072-11-14,222,225,221,224,46820
2072-11-15,223.75,225.75,222.5,222.75,28341
2072-11-16,223,225.25,222.25,222.5,26766
2072-11-17,222.5,223.75,222,223.25,19504
2072-11-18,223,224.25,220,220.25,37163
2072-11-19,220.5,222.75,219.25,220.25,34596
2072-11-20,220.25,221.5,219.5,219.75,15362
2072-11-21,220,222.25,219,221.25,24960
2072-11-22,221,222.5,220,220.5,21680
2072-11-23,209,212,209,211.5,21936
2072-11-24,205.5,208.5,205,208.25,85142
2072-11-25,208,210.75,206.5,209.25,321
2072-11-26,209,212.25,209,211.75,405
2072-11-27,211.5,214,209.25,212.25,449
2072-11-28,212,213.25,210,210.25,545
2072-11-29,210.25,213,210.25,210.75,22279
2072-11-30,211.25,212,208.75,209,355
2072-12-01,209.25,210.75,209,210.5,24147
2072-12-02,210.5,214.25,209.25,211.75,38717
2072-12-03,212.5,214.75,211.25,212,29858
2072-12-04,212,213,209,209.25,265
2072-12-05,209.25,209.75,207.75,209,176
2072-12-06,217,217.5,211,211.75,48943
2072-12-07,211.75,213,209,209.25,776
2072-12-08,209.5,210.75,204,204.25,57621
2072-12-09,204.5,205.5,201.5,202.25,290
2072-12-10,202.25,206,202.25,203.5,376
2072-12-11,203.5,208,203.5,207.75,566
2072-12-12,207.5,207.5,204.25,204.25,49586
2072-12-13,203.75,208,201.5,207.5,490
2072-12-14,207.5,210.75,205.75,207.5,762
2072-12-15,207.5,211.5,207,208.5,580
2072-12-16,208.75,210.5,207.5,207.75,32764
2072-12-17,207.5,210.25,207,210,292
2072-12-18,210,211.5,206.5,208,470
2072-12-19,208,209.25,203.5,205,501
2072-12-20,205,206,203,205,375
2072-12-21,204.75,205,198,198.25,60054
2072-12-22,198.25,199.5,196.75,197,496
2072-12-23,201.5,202.25,199.75,201.75,363
2072-12-24,201.75,202.25,199,201.5,27221
2072-12-25,201,201.75,199.75,201.25,19299
2072-12-26,201,201.5,199.25,199.75,307
2072-12-27,198.25,198.25,193.5,194,36822
2072-12-28,194,194.5,191,191.25,345
2072-12-29,191.25,193.5,191.25,192.25,260
2072-12-30,192.25,194.5,192.25,193.75,21184
2072-12-31,194,194.25,191,191.25,25339
2073-01-01,191,191.5,187.75,189.25,34169
2073-01-02,189.5,190.75,189.25,190,625
2073-01-03,190,193.25,188.5,192.75,651
2073-01-04,192.25,199.5,192.25,198.75,831
2073-01-05,197.5,198,195.25,195.75,27948
2073-01-06,196.25,199.25,195.25,195.5,30916
2073-01-07,195,199,194.25,198.5,646
2073-01-08,198.5,201.5,198.25,198.5,989
2073-01-09,198,198.25,196,197.25,27976
2073-01-10,198,201,196.5,198.75,30317
2073-01-11,198.5,199.75,196.25,197.25,444
2073-01-12,198.5,201.5,197.75,200.5,9304
2073-01-13,200.5,201,197.75,198,172
2073-01-14,197.75,198,195.5,196,14146
2073-01-15,195.5,197.5,195,195.25,13288
2073-01-16,195.75,195.75,192,192.5,229
2073-01-17,192.25,193.5,192.25,193.25,15723
2073-01-18,193.25,196.75,193.25,195.75,25176
2073-01-19,196,198,195.75,197.25,125
2073-01-20,197,202.5,196,197.25,297
2073-01-21,197,199.75,194,199.25,29986
2073-01-22,198.5,203.25,198.5,202.25,33268
2073-01-23,202,208,199,205.75,34889
2073-01-24,205.25,207.75,205,207.25,241
2073-01-25,205,212,204.25,211.5,28473
2073-01-26,211,217.75,210.25,216.5,36965
2073-01-27,216,228.5,216,224.5,1957
2073-01-28,223.75,235.5,222.5,234.25,917
2073-01-29,233.5,236,223,224.25,1158
2073-01-30,222,223.5,211.75,216.25,740
2073-01-31,230,230.5,224,224.75,575
2073-02-01,207.75,209.5,203.5,209.25,515
2073-02-02,215,218.75,211,215,16626
2073-02-03,214.5,219.75,214.5,219.25,14476
2073-02-04,219.5,224,215.5,218.25,741
2073-02-05,218,221.25,216.75,220.5,378
2073-02-06,218.75,220.25,215,217,780
2073-02-07,213.75,219,211.5,218.75,733
2073-02-08,218.5,220,214.75,215.25,383
2073-02-09,215.75,218,213,213.5,18083
2073-02-10,213.5,215.75,209.25,210.5,312
2073-02-11,211,213,208.5,212.5,215
2073-02-12,215.75,217.25,214.25,216,397
2073-02-13,216,218.75,216,217.5,16929
2073-02-14,217,221,217,219.75,294
2073-02-15,219.25,225.5,219.25,222,25421
2073-02-16,222,225.25,221.75,224.75,121
2073-02-17,224,224,221,221.75,18260
2073-02-18,221.5,222.75,218,219.5,20212
2073-02-19,219.25,220.75,216.25,217,100
2073-02-20,225.75,226.25,223.25,225,44986
2073-02-21,227,228.75,226,227.75,1780
2073-02-22,227,229.5,227,228,717
2073-02-23,228,233,224.75,231.75,452
2073-02-24,230.5,232.5,227.5,228.25,1257
2073-02-25,227,231.5,226.25,231,35841
2073-02-26,232,234,228.5,229,1254
2073-02-27,228.75,231.5,228.5,231.25,55212
2073-02-28,230.75,232.25,229,230,57614
2073-03-01,229.5,232.75,229.5,232.25,371
2073-03-02,232,232,229.75,231.25,366
2073-03-03,232.25,232.5,227.75,229.75,1280
2073-03-04,229.25,229.25,226,226.25,1352
2073-03-05,226,227.5,225.5,225.75,30914
2073-03-06,225.5,227,224,226.5,340
