"Index","Open","High","Low","Close","Volume"
2069-12-08,375,375,367,367.5,47830
2069-12-09,335,342,332,341.25,192395
2069-12-10,343,343,337,337.75,120395
2069-12-11,337.75,341.5,335.25,337.75,135990
2069-12-12,337.75,341,334.5,338.5,163685
2069-12-13,338.5,340,336,339.5,122185
2069-12-14,340,349.75,338.5,347.75,256630
2069-12-15,348,349,345.5,348.75,147630
2069-12-16,349,350.75,342.5,342.75,200810
2069-12-17,341.75,345.5,341.25,344.5,139270
2069-12-18,344.5,345,342.5,343.75,114560
2069-12-19,344,346,341.25,341.5,148185
2069-12-20,339.75,339.75,333,333.5,209525
2069-12-21,333,335.5,332.75,334.75,145475
2069-12-22,334.75,335.5,331,332.5,175960
2069-12-23,330.75,335.5,330.75,334.25,158915
2069-12-24,325.5,330.5,325.25,330,177360
2069-12-25,330,330.5,321.25,321.5,225875
2069-12-26,320.25,321,311.5,314.5,355125
2069-12-27,315.75,318.75,314,314.5,192945
2069-12-28,314,316.25,309.5,315.5,249320
2069-12-29,316.5,319,312.5,313.5,186025
2069-12-30,313,316.25,312,314.25,166895
2069-12-31,316,316,311.5,313.25,160750
2070-01-01,312.75,313,309.75,310.5,189270
2070-01-02,310.75,312.5,309.75,312.25,131525
2070-01-03,311.75,311.75,305.75,306,278650
2070-01-04,306,308.25,303,303.25,192685
2070-01-05,303,303,294,296.75,303170
2070-01-06,293.25,299.25,292.5,296,291300
2070-01-07,296,300.5,292.25,292.75,249665
2070-01-08,293,294,291.5,292,184380
2070-01-09,292,293,288,289.5,197145
2070-01-10,288,293.25,288,292.75,155235
2070-01-11,293,297.25,291.75,296.5,173550
2070-01-12,296.5,297,292.75,293.75,133690
2070-01-13,293.5,294,289.5,290,143935
2070-01-14,289.5,290,283,283.75,228200
2070-01-15,286.75,288.5,284.75,286.5,151330
2070-01-16,286.5,288.75,282.75,283.25,159715
2070-01-17,283,283.75,280.75,283.25,155430
2070-01-18,282.75,285.25,279.5,280.25,217395
2070-01-19,279.5,281.25,278,279,177780
2070-01-20,279,280,276.5,279.5,160955
2070-01-21,269.25,269.5,265.5,266,180185
2070-01-22,269,270.25,267.5,267.75,95325
2070-01-23,267.5,272.25,266.75,271.5,166135
2070-01-24,271.75,274.5,271,272.5,145150
2070-01-25,272,273.5,271.25,272.5,107150
2070-01-26,273.75,278.25,273.75,274.75,204740
2070-01-27,275,275,272.25,274.25,156730
2070-01-28,274,275,273.25,273.5,119330
2070-01-29,270,271,265,265.75,217790
2070-01-30,265,267,262.25,263,237565
2070-01-31,263,264.25,262.75,263.25,160290
2070-02-01,263.25,267.5,260.5,267,214680
2070-02-02,267,268,265.5,266,138995
2070-02-03,266,267.75,264.25,264.5,124315
2070-02-04,264,264.5,262.5,263.75,136775
2070-02-05,263.5,265,263,264.5,128590
2070-02-06,264.25,265.25,262.75,264.25,156450
2070-02-07,264,264.5,262.5,262.75,119800
2070-02-08,262.5,264,261.75,263.5,141720
2070-02-09,263.5,266.75,263.5,265.5,171970
2070-02-10,265.25,270,263.5,264.75,278695
2070-02-11,264,266.5,263.25,266,133540
2070-02-12,266,267.75,264.75,266.75,144930
