"Index","Open","High","Low","Close","Volume"
2069-12-08,457,457,452,454.5,17955
2069-12-09,449.5,466,447.5,464.5,74255
2069-12-10,466,466,457,459.75,52610
2069-12-11,459,460,454,455.5,34965
2069-12-12,454.5,457.5,452.5,456.25,29860
2069-12-13,456.5,460.5,453.25,458.5,36730
2069-12-14,457,467.5,455,465,64080
2069-12-15,465,465.75,461,464,35075
2069-12-16,464,465.5,453,455,63770
2069-12-17,455,458.25,451,456,56485
2069-12-18,456,459,452,453.25,33005
2069-12-19,452.5,459,448.5,452.25,60885
2069-12-20,450,451.5,446,447.25,54085
2069-12-21,446.5,449,439.5,446,67680
2069-12-22,447,447,440,442.5,45215
2069-12-23,449.5,453.5,448,452.75,56755
2069-12-24,437,437.5,430.5,434.5,76295
2069-12-25,436,436,423.5,424,68070
2069-12-26,422,422,412,417,87970
2069-12-27,417,422.5,417,418.5,46265
2069-12-28,417,425,414.5,424.25,70125
2069-12-29,425,426.5,415.5,416.75,66880
2069-12-30,416,425,415.5,421,42065
2069-12-31,419.5,428.5,417.5,426.5,43900
2070-01-01,425,433.5,425,429.5,61790
2070-01-02,429.5,432.5,427,429.5,35275
2070-01-03,429,433.5,427,429.25,42830
2070-01-04,429.5,432,428,431.5,38170
2070-01-05,430,436.5,425,436,76610
2070-01-06,435,438,432,433.75,54585
2070-01-07,434.5,439,421.5,422.5,69945
2070-01-08,423.5,425,417,420,66210
2070-01-09,420.5,423,413.5,421,58420
2070-01-10,421.75,423.5,418.5,422.5,27795
2070-01-11,423,429,419.5,428.5,48205
2070-01-12,429.5,432.5,425,427,40440
2070-01-13,427.5,428.5,422.5,424,33920
2070-01-14,423.5,430,419.5,424.5,61325
2070-01-15,430.25,433,421,421.75,57150
2070-01-16,420.75,424,417,417.25,55550
2070-01-17,417,417.5,409,411,81780
2070-01-18,408,413,402.5,404.75,66210
2070-01-19,404.5,406,400,400.5,51015
2070-01-20,400,401.5,392,399.5,70440
2070-01-21,396,396,391,394,25500
2070-01-22,384,387,381.5,384.25,33965
2070-01-23,384.5,396,384,395,62820
2070-01-24,396.75,402.5,388,388.5,83225
2070-01-25,388,392.5,386,390,52200
2070-01-26,396.5,401,391,392.25,59750
2070-01-27,394,395.5,386.5,390.5,52210
2070-01-28,390.25,391,383.5,384.25,35055
2070-01-29,379,380,374.5,377.25,34255
2070-01-30,376.5,377,371,372,57955
2070-01-31,371,377.5,369,370.25,55475
2070-02-01,370.5,376,366.5,375.5,43305
2070-02-02,376.5,382,374.5,379.75,40630
2070-02-03,379,380,373.75,374.25,29305
2070-02-04,373.5,381.5,373,379.25,48695
2070-02-05,379,386,379,382.75,54050
2070-02-06,384,391,383.5,388.25,60355
2070-02-07,389.5,391.25,386.75,389,46130
2070-02-08,390,396.5,388.75,396,41020
2070-02-09,396.5,397.5,391,394.25,37270
2070-02-10,394.5,410.5,394.5,400.75,118305
2070-02-11,400,406,398,400.25,54270
2070-02-12,400,400,392,393.25,42895
2070-02-13,393,393,389.5,390.5,26105
2070-02-14,390.5,392.5,386.5,391.75,14915
2070-02-15,394,396,389,389.5,16590
2070-02-16,388.75,389,381.5,382,37320
2070-02-17,381.5,386,380.25,381.25,22685
2070-02-18,389.5,391,383,384,33335
2070-02-19,385.5,394.5,384.25,388.5,49575
2070-02-20,388,393,387,392.5,34485
2070-02-21,393.5,397.5,393.5,395,39180
2070-02-22,394,395,388,389.25,43775
2070-02-23,389,399.75,385.5,387,81125
2070-02-24,388,391.5,384,391,52750
2070-02-25,391,392,387,388,37345
2070-02-26,388,391,386,390.25,34400
2070-02-27,390,390.5,382.5,387.25,56135
2070-02-28,388.25,388.25,379.25,380.5,51420
2070-03-01,377,382.75,375,382.25,45190
2070-03-02,382,385,378.5,379.25,36690
2070-03-03,379,379.5,374,375.75,46650
2070-03-04,376,379.5,374.5,375,22945
2070-03-05,375.5,376,371,371.5,29935
2070-03-06,372,374.5,371.25,373,28230
2070-03-07,373.25,375.5,370,370.25,36335
2070-03-08,370,373.5,370,370.25,23745
2070-03-09,370.5,370.5,357,359.75,87615
2070-03-10,358.5,363,357,361.5,48990
2070-03-11,362.5,362.5,356.5,357.75,42820
2070-03-12,357,362,356,361.5,36645
2070-03-13,363.5,365.25,357,358,39250
2070-03-14,357.75,358,354.5,356,37500
2070-03-15,358,360.5,352,352.5,40655
2070-03-16,352.5,363,351,362,68005
2070-03-17,362,365.5,354,357.25,57605
2070-03-18,357,363,356,359,41495
2070-03-19,359,362,357,359.5,23185
2070-03-20,361.5,370,361.5,364.25,38595
2070-03-21,364,368,358.5,359.5,35535
2070-03-22,356.5,364,356.5,363.25,23535
2070-03-23,364.25,375,361,374,37540
2070-03-24,373,379,371,373.75,46845
2070-03-25,373.75,378,368,377,31550
2070-03-26,375.5,382,372.5,372.75,40630
2070-03-27,372,378,372,374.25,42515
2070-03-28,373,376.5,368,375.25,29410
2070-03-29,374.5,382,373.5,377,34520
2070-03-30,377,384,367.5,370,42145
2070-03-31,370.5,374.5,366,369,35995
2070-04-01,370,376.5,369,375,30510
2070-04-02,376,382,370,375.5,38200
2070-04-03,376,381.5,372,379.25,19305
2070-04-04,380.5,383,373,382,21940
2070-04-05,382.5,390,378,379,51960
2070-04-06,380,380,372,378,31290
2070-04-07,378,393,378,387,31910
2070-04-08,388,391,380,381,24280
2070-04-09,381,385,379,383.75,18720
2070-04-10,384.25,392,382.5,391,15910
2070-04-11,391,403,390.25,397.5,45135
2070-04-12,394.5,396,387,390,26770
2070-04-13,390,390,385,386.5,17400
2070-04-14,386.25,391,386.25,389.5,13880
2070-04-15,389.5,397.5,389.25,395.5,23460
2070-04-16,396,402.5,396,401.75,19540
2070-04-17,401.5,408,396,397.5,25955
2070-04-18,397.5,407,392.5,393.75,26770
2070-04-19,393,393.5,386,388.5,31685
2070-04-20,389,389,372,375,36125
2070-04-21,375,378,368,371.75,40780
2070-04-22,373.25,382.25,373.25,380.5,29515
2070-04-23,381.75,388,381,382,35860
2070-04-24,384.25,388,381,385.5,26925
2070-04-25,386,394,386,393,31030
2070-04-26,394,409.5,391,403,37715
2070-04-27,411.25,423,411.25,423,10755
2070-04-28,435,435,413.5,415.75,31540
2070-04-29,416,416.25,406,406.75,22970
2070-04-30,415,435.5,414,431,90965
2070-05-01,430,447,426,444.5,111785
2070-05-02,447.5,459,440,447.25,109750
2070-05-03,450,452,437,447,76095
2070-05-04,448,451,435,435.75,74060
2070-05-05,435.5,440,425,425.75,127680
2070-05-06,425.25,435,424,432.25,65685
2070-05-07,428,429.5,419,421.25,85995
2070-05-08,421,425.75,416.5,423,74385
2070-05-09,424.5,434.5,424.25,433.5,77750
2070-05-10,433.75,435,424,425,68515
2070-05-11,423.5,426,416,416.5,89600
2070-05-12,415,419.5,410,411.25,87355
2070-05-13,410,410,402,402.5,111255
2070-05-14,403,410,403,404.25,58305
2070-05-15,404.75,412,401.5,409,74690
2070-05-16,410.5,415,410,413.75,43850
2070-05-17,413,415,397,399,98095
2070-05-18,398,398,390.75,395.5,94060
2070-05-19,395.75,397,385,387,96160
2070-05-20,387,395,385.5,388.5,67855
2070-05-21,388.5,394,387.5,388.75,54135
2070-05-22,387.75,395.5,385,394.75,60515
2070-05-23,395.5,395.5,380,380.5,82685
2070-05-24,381,384,379.25,382.25,57165
2070-05-25,384,384.75,376.5,377.25,56155
2070-05-26,376.5,378,372,375,60650
2070-05-27,374.75,376,363,363.5,90550
2070-05-28,362.75,368,357,367,95905
2070-05-29,367.5,374.5,358,358.5,90760
2070-05-30,359,364,358,360.5,49065
2070-05-31,361,365,356.5,360.75,50605
2070-06-01,361.5,365,360.5,362,42790
2070-06-02,362.5,362.5,352.5,353.75,65395
2070-06-03,354,358,351,356,50655
2070-06-04,357.5,362,357.25,359.5,62030
2070-06-05,360.25,369,356.5,367.5,77895
2070-06-06,369.5,372,362,363,71700
2070-06-07,364,367,361,364.5,49705
2070-06-08,363.25,367,352,353,71310
2070-06-09,354,358,348,352.5,56480
2070-06-10,351,353,342.5,342.75,61065
2070-06-11,342.5,346,342,343.75,42120
2070-06-12,352,355.5,345,345.25,20825
2070-06-13,345.5,346,342.5,343,23695
2070-06-14,343,347,339.5,342,29780
2070-06-15,339.5,341,336,337,31740
2070-06-16,337,343,336.5,339,40205
2070-06-17,339.25,343.5,337.5,340,46045
2070-06-18,340,344.5,340,343,60595
2070-06-19,342.5,343.25,335,336,84550
2070-06-20,335,336.5,329,332.25,78865
2070-06-21,332,336,330.5,331.5,48845
2070-06-22,331.75,334.5,331,332.5,36535
2070-06-23,332.5,334,327,327.5,67590
2070-06-24,325,327,321.5,321.75,47895
2070-06-25,321,328.5,321,324.75,63240
2070-06-26,324.5,339,324.5,334.25,95495
2070-06-27,334,334.25,329,329.5,45740
2070-06-28,329,333.5,323,329.5,61005
2070-06-29,332,343,332,336,74345
2070-06-30,332,342,332,338.25,67050
2070-07-01,338,338,331,331.5,48535
2070-07-02,330.5,335,330,331.75,42880
2070-07-03,331.75,337,331.75,336,39085
2070-07-04,331,341.5,329,340.25,74555
2070-07-05,340.5,353,340.5,349.75,86125
2070-07-06,350,359,349.75,356.75,92595
2070-07-07,357,359,353,358.5,57965
2070-07-08,358,361,353.5,358.5,47050
2070-07-09,355.5,364,355.25,357.5,40775
2070-07-10,357.5,360.5,355,358,29255
2070-07-11,358,360,352,356.25,34510
2070-07-12,356,364,353,362,46355
2070-07-13,362,363.5,358,361.5,24335
2070-07-14,362,367,353.5,354.75,41165
2070-07-15,353.75,354,348,353.25,29520
2070-07-16,353.25,363,353.25,362.25,33415
2070-07-17,362.25,367,358,363.25,39950
2070-07-18,363.25,368,362,367.25,38465
2070-07-19,366.75,367.25,362,363.75,34320
2070-07-20,364,373,360.5,361,55745
2070-07-21,360,363.25,355.5,361.25,38290
2070-07-22,361.25,361.25,355,355.25,20425
2070-07-23,354.75,358,351.5,354,27920
2070-07-24,353.5,359.5,353,357.5,16045
2070-07-25,373.5,377,373.5,375.75,7118
2070-07-26,376,381,376,377.5,11380
2070-07-27,377.5,385,377.5,384.5,10979
2070-07-28,385,387.5,382.5,383.5,13887
2070-07-29,382.5,382.5,375.5,380.25,10783
2070-07-30,379.5,382,378.25,379,10824
2070-07-31,378,388.5,376.5,388,19268
2070-08-01,388,395,385.5,393,31295
2070-08-02,392.75,398,390.5,394,18141
2070-08-03,393,394.5,389,394,16031
2070-08-04,394.5,395,388.5,390,15233
2070-08-05,389,391.5,385,386.25,20894
2070-08-06,386,391,383,387,14969
2070-08-07,386,386.5,377,379.75,24571
2070-08-08,379,384,377.75,382.75,10760
2070-08-09,383,384.75,379.5,380.25,10687
2070-08-10,379.25,381,376,378.5,11822
2070-08-11,378,380.5,371,374.75,17233
2070-08-12,373.75,374,366.5,369.5,23495
2070-08-13,370,374.5,369.75,372.5,13808
2070-08-14,371.75,374.5,368.5,373.75,10206
2070-08-15,374.5,377.5,368,369,13665
2070-08-16,368,369.5,365,367.5,12654
2070-08-17,368,368.5,362,364.25,10583
2070-08-18,364,367.5,363.5,367,7859
2070-08-19,367,369.5,362.5,365.25,11083
2070-08-20,365.75,366.5,363,365.75,7300
2070-08-21,365.75,365.75,357,357.25,20448
2070-08-22,356,360,354.5,359,12275
2070-08-23,359,361,354,354.25,14634
2070-08-24,354.5,355.75,350.5,350.75,12362
2070-08-25,351,357,348.5,354.75,15337
2070-08-26,355,360,354,357.75,12752
2070-08-27,358,359.5,353,355.25,8828
2070-08-28,355,367.5,354,365.75,25235
2070-08-29,366,368,361.5,362.75,13425
2070-08-30,362.75,372,362,368.75,16425
2070-08-31,368.75,374,364,365.25,16898
2070-09-01,370.5,371,365,366.5,10147
2070-09-02,365,373,363,369.75,10580
2070-09-03,369.75,372.5,365,365.25,9844
2070-09-04,365,366,362.5,363.25,8491
2070-09-05,362.5,371,362,370.5,14865
2070-09-06,371,377,369.5,376,16984
2070-09-07,376,379.5,371.5,374,15474
2070-09-08,373,373.5,366.5,366.75,10062
2070-09-09,366.5,371.5,366,369,9194
2070-09-10,370,372.75,360,361.5,15413
2070-09-11,359,361.5,355.5,361,14125
2070-09-12,361.25,365,358.5,358.75,7023
2070-09-13,358,361.5,355,359.75,11558
2070-09-14,359.5,362.5,358.25,360.5,6649
2070-09-15,360.5,364.5,358.5,363.25,8855
2070-09-16,363,364.5,359,359.25,8401
2070-09-17,359,360,355,355.75,10325
2070-09-18,355.5,358.5,352,358,13043
2070-09-19,359,359.5,355.25,358,10066
2070-09-20,357,357,347,350,22093
2070-09-21,349.75,350.5,344.5,344.75,14290
2070-09-22,345,346.5,341,341.5,15784
2070-09-23,341.25,342.5,339.5,340,11953
2070-09-24,340,346.75,339,345.5,10583
2070-09-25,344.5,348,343.5,345.75,10201
2070-09-26,360.5,360.5,354,354.5,11313
2070-09-27,353.5,356,352.5,353.25,7583
2070-09-28,352.5,357,352.5,356.75,7966
2070-09-29,357.25,359,353.75,355.25,11690
2070-09-30,355.75,355.75,349.5,350.5,21162
2070-10-01,350.25,358,350,356,24451
2070-10-02,357.5,364,357.5,360.25,21512
2070-10-03,360.25,362,356.25,356.75,14239
2070-10-04,356.25,361,354.5,355.5,13289
2070-10-05,356,357.5,355,356.5,10641
2070-10-06,356.5,361,354.5,360.5,14195
2070-10-07,361,363.5,359.5,362.5,11284
2070-10-08,362.5,365,359.5,359.75,14794
2070-10-09,359.5,361.25,358,358.5,6223
2070-10-10,358.75,362.75,350.5,350.75,19871
2070-10-11,350.25,351.5,344,344.25,18444
2070-10-12,344,345,340.75,342.5,11590
2070-10-13,343.25,345.75,342.75,343,7636
2070-10-14,343,346.75,342.25,345.5,7862
2070-10-15,346,346.75,334,334.25,21143
2070-10-16,335,336,331,333.75,15369
2070-10-17,334,338,332,333,7843
2070-10-18,334,336.5,332.5,335.75,3687
2070-10-19,335,340.25,334.5,337.25,4414
2070-10-20,339,340.5,333.5,333.75,6402
2070-10-21,333.75,333.75,327.5,327.75,10554
2070-10-22,327.75,329.5,325.5,325.75,5290
2070-10-23,330.75,334,327,331,8013
2070-10-24,331,331.5,324,324.5,11231
2070-10-25,324.75,329.5,322.5,329,10204
2070-10-26,329.5,329.5,320,320.5,13247
2070-10-27,320.5,322.5,319.5,321,11579
2070-10-28,321,324,319.25,321.75,10138
2070-10-29,321.75,341.75,321.75,334,32245
2070-10-30,334,337.5,328,329.5,15026
2070-10-31,329.25,334.5,325,333.75,14167
2070-11-01,333.75,337.5,332,334.25,8906
2070-11-02,335.5,336,329.5,332,7964
2070-11-03,331,333,329.25,330,7060
2070-11-04,330,332,328,331,6815
2070-11-05,331.25,337.5,331,334.25,11965
2070-11-06,334.5,343,333.5,341.75,13863
2070-11-07,341.5,348,339.5,341.25,22473
2070-11-08,340.25,344,339.5,341.25,9576
2070-11-09,340.75,342.5,338.25,338.75,8532
2070-11-10,338.75,340,336,337.25,8883
2070-11-11,337.75,344,335,343.5,11889
2070-11-12,344,347,341,344.25,12377
2070-11-13,344,345.5,341,341.75,7797
2070-11-14,341.5,343.25,338.5,338.75,10589
2070-11-15,337.75,338.5,333,334,11311
2070-11-16,334,338.5,334,337.25,10682
2070-11-17,337.5,339.25,336,338,6248
2070-11-18,338.5,338.5,330,332.5,17934
2070-11-19,332.5,334.5,330,333.5,9887
